net,length_um
net7,295.5
clk,289.94
net3,273.88
net12,271.16
net2,249.08
net10,232.02
net1,217.46
net17,196.32
net6,181.8
net14,175.56
net13,174.72
net8,166.24
net18,158.58
net21,151.87
net4,142.46
net5,138.96
net15,136.22
u_imem.pc_addr\[7\],125.88
u_pc._044_,123.755
u_pc._045_,115.665
clknet_1_0__leaf_clk,115.5
net11,113.42
u_pc._047_,112.14
clknet_1_1__leaf_clk,104.42
net19,100.1
u_pc._050_,98.38
net22,87.91
u_pc._043_,87
net9,86.82
u_pc._059_,71.13
u_imem.pc_addr\[1\],67.92
u_pc._046_,65.46
u_imem.pc_addr\[6\],63.44
u_imem.pc_addr\[2\],60.35
net20,60.28
u_imem.pc_addr\[12\],54.36
u_imem.pc_addr\[13\],53.1
u_pc._024_,50.24
u_imem.pc_addr\[8\],48.35
u_pc._077_,43.42
u_imem.pc_addr\[10\],41.54
u_imem.pc_addr\[14\],35.06
u_imem.pc_addr\[9\],30.86
u_imem.pc_addr\[4\],28.51
u_imem.pc_addr\[5\],23.88
net16,23.38
u_pc._076_,23.28
u_imem.pc_addr\[11\],23.14
clknet_0_clk,22.92
u_imem.pc_addr\[3\],21.96
u_pc._061_,20.16
u_pc._067_,18.56
u_imem.pc_addr\[0\],17.34
u_imem.pc_addr\[15\],16.86
current_pc[0],15.62
u_decoder._01_,14.84
current_pc[1],14.82
u_pc._020_,14.455
u_imem._00_,14.4
u_pc._036_,14.04
u_pc._081_,13.26
u_pc._028_,13.08
u_decoder.instruction\[14\],13.02
current_pc[10],11.94
u_pc._039_,11.7
u_decoder.instruction\[12\],11.42
current_pc[3],11.26
u_pc.sleep_en,11.24
u_pc._071_,11.16
u_pc._011_,10.985
net29,10.58
current_pc[8],9.64
rst_n,9.52
_00_,9.3
current_pc[15],9.18
current_pc[2],9.18
current_pc[9],8.96
u_pc._048_,8.955
net46,8.6
u_pc._069_,8.48
current_pc[13],8.38
net48,8.36
u_pc._060_,7.88
u_pc._054_,7.74
current_pc[11],7.58
current_pc[4],7.58
u_pc._052_,7.58
u_pc._073_,7.46
net24,7.44
u_pc._064_,7.28
u_decoder.instruction\[13\],6.82
net44,6.78
is_sleeping,6.77
wake_up,6.77
u_pc._007_,6.72
u_pc._049_,6.7
u_imem._04_,6.6
u_pc._009_,6.58
u_pc._066_,6.5
net32,6.32
u_pc._065_,6.2
u_pc._018_,6.06
u_pc._082_,5.96
u_pc._017_,5.77
current_pc[12],5.75
current_pc[5],5.75
u_pc._078_,5.72
u_pc._055_,5.56
u_pc._006_,5.425
net36,5.38
u_imem._03_,5.22
u_pc._063_,5.22
net39,5.14
u_pc._013_,5.06
u_pc._051_,4.8
u_pc._074_,4.76
u_pc._057_,4.7
u_decoder.instruction\[15\],4.6
u_pc._000_,4.46
u_pc._004_,4.46
current_pc[6],4.39
current_pc[7],4.39
net49,4.34
current_pc[14],4.27
u_pc._070_,4.24
u_pc._027_,4.22
u_pc._058_,4.22
u_pc._075_,4.2
net37,4.14
u_pc._042_,4.1
net47,4.02
u_pc._068_,3.98
u_pc._056_,3.9
u_pc._016_,3.88
net38,3.88
net26,3.88
net45,3.88
u_pc._023_,3.78
net28,3.76
u_pc._040_,3.52
u_pc._035_,3.44
u_pc._030_,3.32
net25,3.3
net33,3.22
u_pc._008_,3.1
u_pc._014_,3.08
u_pc._019_,3.08
u_pc._038_,3.08
u_pc._080_,3.08
net50,3.08
u_pc._062_,2.98
u_pc._001_,2.74
u_pc._041_,2.64
u_pc._032_,2.62
u_pc._037_,2.62
u_pc._025_,2.52
u_pc._083_,2.5
net30,2.5
u_pc._072_,2.4
net34,2.38
net31,2.38
u_pc._005_,2.28
u_pc._010_,2.18
u_pc._053_,2.18
u_pc._079_,2.18
u_imem._01_,2.16
u_pc._021_,2.16
net43,2.16
u_pc._031_,2.06
u_pc._026_,2.04
u_pc._034_,2.04
u_pc._015_,1.915
net27,1.84
net42,1.84
u_imem._02_,1.82
u_pc._002_,1.82
u_pc._012_,1.7
net35,1.38
net40,1.38
net41,1.38
u_pc._003_,1.36
u_pc._022_,1.14
u_pc._033_,1.02
net23,0.92
u_pc._029_,0.46
